Keyword;Position;Search Volume;CPC;Url;Traffic (%);Traffic Cost (%);Competition
attio;1;12100;4.20;https://attio.com/;65.50;58.23;0.46
attio crm;1;1000;7.41;https://attio.com/;5.41;8.49;0.68
attiot;1;480;4.59;https://attio.com/;2.59;2.52;0.61
attio';1;480;4.20;https://attio.com/;2.59;2.30;0.46
attio pricing;1;390;4.01;https://attio.com/pricing;2.11;1.79;0.56
attio login;1;320;0.00;https://attio.com/help/reference/account-settings/signing-into-attio;1.73;0.00;0.01
attio careers;1;260;0.00;https://attio.com/careers;1.40;0.00;0.01
attio api;1;210;0.00;https://docs.attio.com/rest-api/overview;1.13;0.00;0.01
attios;1;170;4.59;https://attio.com/;0.92;0.89;0.61
attio company information;1;170;0.00;https://attio.com/;0.92;0.00;0.00
attio discount;1;170;0.00;https://attio.com/startups;0.92;0.00;0.11
attio funding;1;110;0.00;https://attio.com/blog/attio-raises-52m-series-b;0.59;0.00;0.04
attio integrations;1;110;10.58;https://attio.com/apps;0.59;1.33;0.31
crm online;2;720;19.02;https://attio.com/;0.39;1.60;0.39
free crm;11;8100;18.55;https://attio.com/;0.27;1.06;0.48
attio sign in;1;50;0.00;https://attio.com/help/reference/account-settings/signing-into-attio;0.27;0.00;0.33
attio stripe integration;1;50;0.00;https://attio.com/apps/stripe-invoicing;0.27;0.00;0.22
adio crm;1;50;7.08;https://attio.com/;0.27;0.40;0.46
attio price;1;50;4.01;https://attio.com/pricing;0.27;0.22;0.56
crm with ai;2;480;20.96;https://attio.com/;0.26;1.17;0.27
ateo;3;1600;0.00;https://attio.com/;0.25;0.00;0.00
ai crm software;3;590;18.60;https://attio.com/;0.25;1.01;0.43
attio company;1;40;0.00;https://attio.com/;0.21;0.00;0.21
attio mcp server;1;40;0.00;https://docs.attio.com/mcp/overview;0.21;0.00;0.05
atio crm;1;110;5.58;https://attio.com/;0.18;0.21;0.57
attio mcp;1;30;8.05;https://docs.attio.com/mcp/overview;0.16;0.27;0.09
attio call recording;1;30;24.88;https://attio.com/help/reference/productivity-collaborating/call-intelligence/recording-calls-with-attio;0.16;0.85;0.27
cometly;4;1900;5.50;https://attio.com/apps/cometly;0.16;0.18;0.05
