wing,source_domain,match_reason,Keyword,Position,Search Volume,CPC,Url,Traffic (%),Traffic Cost (%),Competition
Iris Platform,attio.com,iris keyword/path,free crm,11,8100,18.55,https://attio.com/,0.27,1.06,0.48
Iris Platform,myaifrontdesk.com,iris keyword/path,fusion web clinic,13,6600,2.60,https://www.myaifrontdesk.com/therapy/fusion-web-clinic-ai-integration,0.01,0.29,0.20
Iris Platform,myaifrontdesk.com,iris keyword/path,ai receptionist,4,5400,15.86,https://www.myaifrontdesk.com/,0.10,9.40,0.64
Iris Platform,myaifrontdesk.com,iris keyword/path,frontdesk,4,2900,3.20,https://www.myaifrontdesk.com/,0.03,0.69,0.55
dotfun AI Solutions,effectivesoft.com,ai solutions keyword,enterprise ai solutions,22,2900,22.75,https://www.effectivesoft.com/blog/top-enterprise-ai-companies.html,0.01,0.03,0.12
dotfun AI Solutions,tech.us,ai solutions keyword,enterprise ai solutions,29,2900,22.75,https://tech.us/services/enterprise-ai-services,0.09,0.13,0.12
Iris Platform,attio.com,iris keyword/path,crm applications,15,1600,16.05,https://attio.com/,0.00,0.02,0.52
Iris Platform,attio.com,iris keyword/path,crm application,17,1600,12.44,https://attio.com/,0.01,0.03,0.53
Iris Platform,attio.com,iris keyword/path,crm applications,76,1600,16.05,https://attio.com/,0.00,0.00,0.52
Iris Platform,myaifrontdesk.com,iris keyword/path,adult ai chatbot,9,1300,0.89,https://www.myaifrontdesk.com/blogs/exploring-the-landscape-of-adult-ai-chatbot-services-trends-and-user-experiences,0.01,0.06,0.39
Iris Platform,attio.com,iris keyword/path,crm companies,10,1300,8.53,https://attio.com/,0.03,0.06,0.51
Iris Platform,attio.com,iris keyword/path,open source crm,18,1300,10.52,https://attio.com/,0.00,0.01,0.61
Iris Platform,attio.com,iris keyword/path,attio crm,1,1000,7.41,https://attio.com/,5.41,8.49,0.68
dotfun AI Solutions,effectivesoft.com,ai solutions keyword,ai agent development services,1,1000,18.31,https://www.effectivesoft.com/ai-agent-development.html,1.24,2.01,0.10
dotfun AI Solutions,npgroup.net,ai solutions keyword,ai agent development company,5,1000,22.04,https://www.npgroup.net/automation/ai-agent-development/,7.91,29.72,0.15
Iris Platform,attio.com,iris keyword/path,business crm,6,1000,18.42,https://attio.com/,0.16,0.63,0.37
dotfun AI Solutions,effectivesoft.com,ai solutions keyword,ai agent development company,6,1000,22.04,https://www.effectivesoft.com/ai-agent-development.html,0.28,0.55,0.15
dotfun AI Solutions,tech.us,ai solutions keyword,ai agent development company,7,1000,22.04,https://tech.us/blog/top-ai-agent-development-companies-usa,1.10,1.54,0.15
dotfun AI Solutions,tech.us,ai solutions keyword,ai agent development services,7,1000,18.31,https://tech.us/blog/top-ai-agent-development-companies-usa,1.10,1.28,0.10
dotfun AI Solutions,appinventiv.com,ai solutions keyword,ai agent development company,10,1000,22.04,https://appinventiv.com/ai-agent-development-services/,0.04,0.07,0.15
Iris Platform,attio.com,iris keyword/path,sales crm softwares,15,1000,16.91,https://attio.com/,0.02,0.07,0.08
Iris Platform,attio.com,iris keyword/path,top crm,15,1000,17.24,https://attio.com/,0.00,0.02,0.68
Iris Platform,attio.com,iris keyword/path,crm system tools,16,1000,13.76,https://attio.com/,0.00,0.01,0.48
dotfun AI Solutions,deviniti.com,ai solutions keyword,ai agent development company,16,1000,22.04,https://deviniti.com/services/custom-ai-agent-llm-agent-development/,0.12,0.30,0.15
dotfun AI Solutions,deviniti.com,ai solutions keyword,ai agent development services,20,1000,18.31,https://deviniti.com/services/custom-ai-agent-llm-agent-development/,0.04,0.08,0.10
dotfun AI Solutions,effectivesoft.com,ai solutions keyword,ai agent frameworks,21,1000,7.28,https://www.effectivesoft.com/blog/top-frameworks-for-building-ai-agents.html,0.00,0.00,0.56
dotfun AI Solutions,npgroup.net,ai solutions keyword,ai agent development services,22,1000,18.31,https://www.npgroup.net/automation/ai-agent-development/,0.22,0.69,0.10
Iris Platform,attio.com,iris keyword/path,crm software development company,5,880,15.92,https://attio.com/,0.14,0.47,0.14
dotfun Growth Services,npgroup.net,growth keyword,web design nj,16,880,13.05,https://www.npgroup.net/new-jersey-digital-agency/,0.22,0.50,0.11
Iris Platform,attio.com,iris keyword/path,custom crm development,34,880,21.49,https://attio.com/,0.00,0.00,0.07
Iris Platform,attio.com,iris keyword/path,best small business crm,95,880,19.51,https://attio.com/,0.00,0.00,0.75
Iris Platform,attio.com,iris keyword/path,crm online,2,720,19.02,https://attio.com/,0.39,1.60,0.39
Iris Platform,attio.com,iris keyword/path,custom crm software,6,720,24.68,https://attio.com/,0.02,0.10,0.08
dotfun AI Solutions,appinventiv.com,ai solutions keyword,solo entrepreneur ai automation business ideas,6,720,0.00,https://appinventiv.com/blog/ai-agent-business-ideas/,0.01,0.00,0.00
dotfun Growth Services,npgroup.net,growth keyword,custom web design and development,9,720,0.00,https://www.npgroup.net/blog/what-custom-web-design/,2.94,0.00,0.00
Iris Platform,attio.com,iris keyword/path,crm online,10,720,19.02,https://attio.com/,0.03,0.13,0.39
dotfun Growth Services,npgroup.net,growth keyword,custom web design and development,10,720,0.00,https://www.npgroup.net/blog/what-custom-web-design/,0.45,0.00,0.00
Iris Platform,attio.com,iris keyword/path,email crm,11,720,25.40,https://attio.com/,0.03,0.18,0.63
Iris Platform,attio.com,iris keyword/path,crm software development,34,720,15.65,https://attio.com/,0.00,0.00,0.15
Iris Platform,attio.com,iris keyword/path,crm que es,48,720,3.96,https://attio.com/,0.00,0.00,0.47
Iris Platform,attio.com,iris keyword/path,crm finance,48,720,10.74,https://attio.com/,0.00,0.00,0.27
Iris Platform,attio.com,iris keyword/path,crm que es,54,720,3.96,https://attio.com/,0.00,0.00,0.47
dotfun Growth Services,npgroup.net,growth keyword,web design company nj,75,720,14.94,https://www.npgroup.net/new-jersey-digital-agency/,0.00,0.00,0.10
Iris Platform,attio.com,iris keyword/path,ai crm software,3,590,18.60,https://attio.com/,0.25,1.01,0.43
Iris Platform,attio.com,iris keyword/path,crm company,4,590,8.53,https://attio.com/,0.07,0.13,0.51
Iris Platform,attio.com,iris keyword/path,software sales crm,9,590,16.91,https://attio.com/,0.02,0.09,0.08
Iris Platform,attio.com,iris keyword/path,crm saas,10,590,12.38,https://attio.com/,0.01,0.03,0.53
dotfun Growth Services,npgroup.net,growth keyword,web design new jersey,10,590,13.05,https://www.npgroup.net/new-jersey-digital-agency/,0.90,2.00,0.11
Iris Platform,attio.com,iris keyword/path,crm solution,11,590,16.89,https://attio.com/,0.00,0.02,0.35
Iris Platform,attio.com,iris keyword/path,crm system software,12,590,10.89,https://attio.com/,0.00,0.01,0.10
Iris Platform,attio.com,iris keyword/path,manage crm,14,590,12.50,https://attio.com/,0.00,0.00,0.15
dotfun Growth Services,npgroup.net,growth keyword,new jersey web design,18,590,13.95,https://www.npgroup.net/new-jersey-digital-agency/,0.00,0.00,0.17
dotfun Growth Services,npgroup.net,growth keyword,new jersey web design,23,590,13.95,https://www.npgroup.net/new-jersey-digital-agency/,0.00,0.00,0.17
Iris Platform,attio.com,iris keyword/path,best crm platforms,36,590,18.92,https://attio.com/,0.00,0.00,0.74
Iris Platform,attio.com,iris keyword/path,what does crm,59,590,9.35,https://attio.com/,0.00,0.00,0.24
Iris Platform,attio.com,iris keyword/path,top crm systems,65,590,11.21,https://attio.com/,0.00,0.00,0.63
Iris Platform,attio.com,iris keyword/path,top crm systems,75,590,11.21,https://attio.com/,0.00,0.00,0.63
Iris Platform,attio.com,iris keyword/path,easy crm,81,590,25.42,https://attio.com/,0.00,0.00,0.67
Iris Platform,attio.com,iris keyword/path,crm healthcare,88,590,20.63,https://attio.com/,0.00,0.00,0.49
Iris Platform,attio.com,iris keyword/path,crm software apps,89,590,16.05,https://attio.com/,0.00,0.00,0.52
dotfun AI Solutions,effectivesoft.com,ai solutions keyword,[company name] ai automation initiatives,1,480,0.00,https://www.effectivesoft.com/blog/top-ai-automation-companies.html,0.59,0.00,0.00
Iris Platform,attio.com,iris keyword/path,crm with ai,2,480,20.96,https://attio.com/,0.26,1.17,0.27
Iris Platform,attio.com,iris keyword/path,web based crm,3,480,20.91,https://attio.com/,0.14,0.62,0.17
Iris Platform,attio.com,iris keyword/path,startup crm,5,480,24.12,https://attio.com/,0.10,0.55,0.48
Iris Platform,attio.com,iris keyword/path,best ai crm,5,480,22.11,https://attio.com/,0.02,0.12,0.58
Iris Platform,attio.com,iris keyword/path,crm software business,11,480,22.47,https://attio.com/,0.00,0.03,0.05
dotfun Growth Services,npgroup.net,growth keyword,customised web design,16,480,9.61,https://www.npgroup.net/blog/what-custom-web-design/,0.00,0.00,0.24
dotfun AI Solutions,npgroup.net,ai solutions keyword,custom ai agents,27,480,12.40,https://www.npgroup.net/automation/ai-agent-development/,0.00,0.00,0.46
Iris Platform,attio.com,iris keyword/path,top crm platforms,30,480,18.92,https://attio.com/,0.00,0.00,0.74
dotfun Growth Services,npgroup.net,growth keyword,nj web design company,31,480,14.94,https://www.npgroup.net/new-jersey-digital-agency/,0.00,0.00,0.10
dotfun Growth Services,npgroup.net,growth keyword,nj web design company,42,480,14.94,https://www.npgroup.net/new-jersey-digital-agency/,0.00,0.00,0.10
Iris Platform,attio.com,iris keyword/path,what is crm database,54,480,9.33,https://attio.com/,0.00,0.00,0.20
Iris Platform,attio.com,iris keyword/path,what is crm database,59,480,9.33,https://attio.com/,0.00,0.00,0.20
dotfun AI Solutions,tech.us,ai solutions keyword,ai agent companies,97,480,11.73,https://tech.us/blog/top-ai-agent-development-companies-usa,0.00,0.00,0.78
Iris Platform,myaifrontdesk.com,iris keyword/path,my ai front desk,1,390,9.24,https://www.myaifrontdesk.com/,0.13,7.21,0.82
Iris Platform,myaifrontdesk.com,iris keyword/path,speech therapy front desk automation,1,390,0.00,https://www.myaifrontdesk.com/industries-we-serve/speech-therapy,0.01,0.00,0.00
dotfun AI Solutions,tech.us,ai solutions keyword,agentic ai development services,4,390,6.11,https://tech.us/services/agentic-ai-development,0.60,0.23,0.26
Iris Platform,attio.com,iris keyword/path,crm businesses,8,390,18.42,https://attio.com/,0.02,0.07,0.37
dotfun AI Solutions,tech.us,ai solutions keyword,llm development services,8,390,4.01,https://tech.us/services/llm-development-services,0.41,0.10,0.00
Iris Platform,attio.com,iris keyword/path,sales crm system,9,390,19.44,https://attio.com/,0.00,0.02,0.07
Iris Platform,attio.com,iris keyword/path,crm providers,10,390,20.41,https://attio.com/,0.00,0.02,0.53
dotfun AI Solutions,deviniti.com,ai solutions keyword,custom ai agent development,10,390,12.40,https://deviniti.com/services/custom-ai-agent-llm-agent-development/,0.04,0.05,0.13
dotfun AI Solutions,tech.us,ai solutions keyword,agentic ai development services,11,390,6.11,https://tech.us/blog/top-agentic-ai-development-partners-in-usa,0.04,0.01,0.26
Iris Platform,attio.com,iris keyword/path,sales crm system,12,390,19.44,https://attio.com/,0.00,0.02,0.07
Iris Platform,attio.com,iris keyword/path,web crm,14,390,18.10,https://attio.com/,0.00,0.00,0.44
Iris Platform,attio.com,iris keyword/path,crm software system,15,390,12.16,https://attio.com/,0.00,0.01,0.43
Iris Platform,attio.com,iris keyword/path,crm.tools,16,390,13.76,https://attio.com/,0.00,0.01,0.48
Iris Platform,attio.com,iris keyword/path,crm logo,17,390,9.39,https://attio.com/,0.00,0.01,0.01
Iris Platform,attio.com,iris keyword/path,crm for free,17,390,15.87,https://attio.com/,0.00,0.00,0.59
dotfun AI Solutions,deviniti.com,ai solutions keyword,custom ai development services,17,390,15.63,https://deviniti.com/services/custom-ai-agent-llm-agent-development/,0.04,0.06,0.13
Iris Platform,attio.com,iris keyword/path,best free crm for real estate,38,390,15.98,https://attio.com/,0.00,0.00,0.77
Iris Platform,attio.com,iris keyword/path,ai native crm,42,390,13.44,https://attio.com/blog/ai-and-the-next-generation-of-CRM,0.00,0.00,0.28
dotfun AI Solutions,tech.us,ai solutions keyword,agentic ai development services,48,390,6.11,https://tech.us/services/agentic-ai-development,0.00,0.00,0.26
dotfun AI Solutions,tech.us,ai solutions keyword,agentic ai development services,55,390,6.11,https://tech.us/services/agentic-ai-development,0.00,0.00,0.26
Iris Platform,attio.com,iris keyword/path,free crm platforms,65,390,21.13,https://attio.com/,0.00,0.00,0.27
Iris Platform,attio.com,iris keyword/path,freeware crm software,75,390,12.08,https://attio.com/,0.00,0.00,0.64
Iris Platform,attio.com,iris keyword/path,freeware crm software,84,390,12.08,https://attio.com/,0.00,0.00,0.64
Iris Platform,attio.com,iris keyword/path,crm websites,3,320,15.28,https://attio.com/,0.13,0.43,0.47
Iris Platform,attio.com,iris keyword/path,ai for crm,3,320,20.30,https://attio.com/,0.13,0.58,0.55
Iris Platform,attio.com,iris keyword/path,crm software company,5,320,15.09,https://attio.com/,0.00,0.02,0.50
dotfun Growth Services,npgroup.net,growth keyword,central jersey web design company,6,320,0.00,https://www.npgroup.net/new-jersey-digital-agency/,1.58,0.00,0.00
dotfun Growth Services,npgroup.net,growth keyword,web design agency nj,7,320,14.94,https://www.npgroup.net/contact/,1.58,4.00,0.10
Iris Platform,attio.com,iris keyword/path,online crm tool,8,320,15.20,https://attio.com/,0.01,0.04,0.10
Iris Platform,attio.com,iris keyword/path,customer crm software,9,320,12.93,https://attio.com/,0.01,0.03,0.19
Iris Platform,attio.com,iris keyword/path,customer crm software,10,320,12.93,https://attio.com/,0.00,0.01,0.19
Iris Platform,attio.com,iris keyword/path,crm developer,24,320,18.32,https://attio.com/,0.00,0.00,0.21
Iris Platform,attio.com,iris keyword/path,what is crm platform,28,320,5.98,https://attio.com/,0.00,0.00,0.37
Iris Platform,attio.com,iris keyword/path,crm software example,31,320,3.27,https://attio.com/,0.00,0.00,0.48
Iris Platform,attio.com,iris keyword/path,hubsport crm,45,320,36.28,https://attio.com/,0.00,0.00,0.42
Iris Platform,attio.com,iris keyword/path,crm system definition,74,320,5.36,https://attio.com/,0.00,0.00,0.13
Iris Platform,attio.com,iris keyword/path,outil crm,3,260,10.61,https://attio.com/,0.04,0.09,0.22
dotfun AI Solutions,effectivesoft.com,ai solutions keyword,custom ai chatbot development services,3,260,0.00,https://www.effectivesoft.com/ai-chatbot-development.html,0.15,0.00,0.00
dotfun AI Solutions,effectivesoft.com,ai solutions keyword,llm development company,3,260,5.82,https://www.effectivesoft.com/blog/top-llm-development-companies.html,0.15,0.07,0.04
Iris Platform,attio.com,iris keyword/path,web based crm software,4,260,0.00,https://attio.com/,0.04,0.00,0.04
dotfun AI Solutions,appinventiv.com,ai solutions keyword,ai agent development solutions,5,260,14.85,https://appinventiv.com/ai-agent-development-services/,0.03,0.03,0.11
Iris Platform,attio.com,iris keyword/path,online crm system,7,260,22.23,https://attio.com/,0.02,0.09,0.41
dotfun AI Solutions,effectivesoft.com,ai solutions keyword,ai agent development solutions,7,260,14.85,https://www.effectivesoft.com/ai-agent-development.html,0.05,0.07,0.11
dotfun AI Solutions,effectivesoft.com,ai solutions keyword,ai automation agency competitors 2026,8,260,0.00,https://www.effectivesoft.com/blog/top-ai-automation-companies.html,0.01,0.00,0.00
dotfun AI Solutions,tech.us,ai solutions keyword,ai agent development solutions,8,260,14.85,https://tech.us/blog/top-ai-agent-development-companies-usa,0.27,0.26,0.11
dotfun AI Solutions,deviniti.com,ai solutions keyword,ai agent development solutions,9,260,14.85,https://deviniti.com/services/custom-ai-agent-llm-agent-development/,0.20,0.34,0.11
dotfun Growth Services,npgroup.net,growth keyword,web design agency new jersey,9,260,0.00,https://www.npgroup.net/new-jersey-digital-agency/,0.45,0.00,0.10
Iris Platform,attio.com,iris keyword/path,apps crm,10,260,12.44,https://attio.com/,0.00,0.01,0.53
dotfun AI Solutions,deviniti.com,ai solutions keyword,ai agent development solutions,10,260,14.85,https://deviniti.com/services/custom-ai-agent-llm-agent-development/,0.12,0.20,0.11
dotfun Growth Services,npgroup.net,growth keyword,web design agency new jersey,10,260,0.00,https://www.npgroup.net/new-jersey-digital-agency/,0.22,0.00,0.10
Iris Platform,attio.com,iris keyword/path,crm.,11,260,13.73,https://attio.com/,0.00,0.01,0.47
dotfun AI Solutions,effectivesoft.com,ai solutions keyword,enterprise ai chatbot development service,11,260,0.00,https://www.effectivesoft.com/ai-chatbot-development.html,0.00,0.00,0.26
dotfun Growth Services,npgroup.net,growth keyword,web design custom,18,260,9.61,https://www.npgroup.net/blog/what-custom-web-design/,0.00,0.00,0.24
Iris Platform,attio.com,iris keyword/path,customer crm free,19,260,15.87,https://attio.com/,0.00,0.00,0.59
Iris Platform,attio.com,iris keyword/path,the crm center,21,260,12.55,https://attio.com/,0.00,0.00,0.16
Iris Platform,attio.com,iris keyword/path,crm system integration,22,260,11.63,https://attio.com/,0.00,0.00,0.30
dotfun Growth Services,npgroup.net,growth keyword,new jersey web design company,24,260,14.94,https://www.npgroup.net/new-jersey-digital-agency/,0.00,0.00,0.10
dotfun AI Solutions,npgroup.net,ai solutions keyword,ai agent development solutions,33,260,14.85,https://www.npgroup.net/automation/ai-agent-development/,0.00,0.00,0.11
Iris Platform,attio.com,iris keyword/path,healthcare crm tools,42,260,17.40,https://attio.com/,0.00,0.00,0.11
dotfun Growth Services,npgroup.net,growth keyword,modulus web design,48,260,0.00,https://www.npgroup.net/blog/modular-web-design-the-age-of-templates-is-over/,0.00,0.00,0.33
dotfun AI Solutions,effectivesoft.com,ai solutions keyword,llm model comparison,49,260,2.21,https://www.effectivesoft.com/blog/comparison-of-llms-models.html,0.00,0.00,0.17
Iris Platform,attio.com,iris keyword/path,meaning of crm,52,260,6.66,https://attio.com/,0.00,0.00,0.16
dotfun AI Solutions,effectivesoft.com,ai solutions keyword,llm model comparison,53,260,2.21,https://www.effectivesoft.com/blog/comparison-of-llms-models.html,0.00,0.00,0.17
dotfun AI Solutions,tech.us,ai solutions keyword,custom ai chatbot development services,53,260,0.00,https://tech.us/services/ai-chatbot-development-services,0.00,0.00,0.00
Iris Platform,attio.com,iris keyword/path,free online crm system,60,260,18.96,https://attio.com/,0.00,0.00,0.56
dotfun Growth Services,npgroup.net,growth keyword,how to fix seo issues,63,260,0.00,https://www.npgroup.net/blog/how-to-identify-and-fix-common-seo-mistakes/,0.00,0.00,0.33
Iris Platform,attio.com,iris keyword/path,web crm software,70,260,0.00,https://attio.com/,0.00,0.00,0.07
Iris Platform,attio.com,iris keyword/path,web crm software,78,260,0.00,https://attio.com/,0.00,0.00,0.07
Iris Platform,attio.com,iris keyword/path,crm marketing tools,91,260,19.68,https://attio.com/,0.00,0.00,0.26
dotfun Growth Services,npgroup.net,growth keyword,new jersey digital marketing agency,95,260,4.59,https://www.npgroup.net/new-jersey-digital-agency/,0.00,0.00,0.16
Iris Platform,attio.com,iris keyword/path,attio api,3,210,0.00,https://attio.com/platform/developers,0.02,0.00,0.01
dotfun AI Solutions,effectivesoft.com,ai solutions keyword,llm companies,4,210,4.42,https://www.effectivesoft.com/blog/top-llm-development-companies.html,0.08,0.03,0.19
dotfun AI Solutions,effectivesoft.com,ai solutions keyword,enterprise ai development services,5,210,0.00,https://www.effectivesoft.com/enterprise-ai-development.html,0.05,0.00,0.05
dotfun AI Solutions,tech.us,ai solutions keyword,enterprise ai development company,6,210,10.59,https://tech.us/blog/top-ai-development-companies-end-to-end-ai-services,0.13,0.09,0.14
Iris Platform,attio.com,iris keyword/path,crm software for it company,7,210,15.09,https://attio.com/,0.03,0.10,0.50
Iris Platform,attio.com,iris keyword/path,online crm systems,7,210,22.23,https://attio.com/,0.01,0.06,0.41
Iris Platform,attio.com,iris keyword/path,crm startups,8,210,16.18,https://attio.com/,0.03,0.11,0.61
dotfun AI Solutions,tech.us,ai solutions keyword,enterprise ai development services,9,210,0.00,https://tech.us/services/enterprise-ai-services,0.13,0.00,0.05
dotfun Growth Services,npgroup.net,growth keyword,web design firm nj,13,210,0.00,https://www.npgroup.net/new-jersey-digital-agency/,0.00,0.00,0.50
Iris Platform,attio.com,iris keyword/path,crm telemarketing,14,210,0.00,https://attio.com/,0.00,0.00,0.17
Iris Platform,attio.com,iris keyword/path,best crm for a startup,15,210,24.90,https://attio.com/,0.00,0.00,0.46
dotfun Growth Services,npgroup.net,growth keyword,web design in new jersey,17,210,13.95,https://www.npgroup.net/new-jersey-digital-agency/,0.00,0.00,0.17
Iris Platform,attio.com,iris keyword/path,crm ads,26,210,12.89,https://attio.com/,0.00,0.00,0.28
dotfun Growth Services,npgroup.net,growth keyword,web design company in new jersey,29,210,14.94,https://www.npgroup.net/new-jersey-digital-agency/,0.00,0.00,0.10
Iris Platform,attio.com,iris keyword/path,generation calendar,30,210,0.16,https://attio.com/,0.00,0.00,0.07
Iris Platform,attio.com,iris keyword/path,pipeline crm pricing,30,210,15.85,https://attio.com/,0.00,0.00,0.59
Iris Platform,attio.com,iris keyword/path,crm for mortgage companies,34,210,23.81,https://attio.com/,0.00,0.00,0.32
dotfun Growth Services,npgroup.net,growth keyword,web design company in nj,53,210,14.94,https://www.npgroup.net/new-jersey-digital-agency/,0.00,0.00,0.10
Iris Platform,attio.com,iris keyword/path,stripe hubspot integration,54,210,11.67,https://attio.com/,0.00,0.00,0.30
Iris Platform,attio.com,iris keyword/path,salesforce as crm,72,210,11.28,https://attio.com/blog/why-salesforce-is-great,0.00,0.00,0.09
Iris Platform,myaifrontdesk.com,iris keyword/path,frontdesk ai,1,170,10.95,https://www.myaifrontdesk.com/,0.01,1.14,0.64
dotfun AI Solutions,deviniti.com,ai solutions keyword,custom ai agent development services,1,170,0.00,https://deviniti.com/services/custom-ai-agent-llm-agent-development/,0.89,0.00,0.04
Iris Platform,attio.com,iris keyword/path,linear integration,3,170,11.33,https://attio.com/apps/linear,0.00,0.01,0.08
dotfun AI Solutions,effectivesoft.com,ai solutions keyword,custom ai agent development services,3,170,0.00,https://www.effectivesoft.com/ai-agent-development.html,0.10,0.00,0.04
Iris Platform,attio.com,iris keyword/path,crm tool online,4,170,15.20,https://attio.com/,0.04,0.15,0.10
dotfun Growth Services,npgroup.net,growth keyword,web design testimonials,6,170,4.39,https://www.npgroup.net/about/testimonials/,1.13,0.80,0.17
Iris Platform,attio.com,iris keyword/path,crm development companies,7,170,22.24,https://attio.com/,0.02,0.12,0.05
dotfun AI Solutions,npgroup.net,ai solutions keyword,custom ai agent development services,9,170,0.00,https://www.npgroup.net/automation/ai-agent-development/,0.67,0.00,0.04
Iris Platform,attio.com,iris keyword/path,app crm,10,170,12.44,https://attio.com/,0.00,0.00,0.53
dotfun AI Solutions,tech.us,ai solutions keyword,agentic ai development company,13,170,19.08,https://tech.us/services/agentic-ai-development,0.00,0.00,0.07
dotfun Growth Services,npgroup.net,growth keyword,web design companies nj,17,170,14.94,https://www.npgroup.net/new-jersey-digital-agency/,0.00,0.00,0.10
Iris Platform,attio.com,iris keyword/path,crm with billing,20,170,15.98,https://attio.com/,0.00,0.00,0.66
Iris Platform,attio.com,iris keyword/path,crm for saas,26,170,12.38,https://attio.com/,0.00,0.00,0.53
Iris Platform,attio.com,iris keyword/path,best open source crm,30,170,5.96,https://attio.com/,0.00,0.00,0.61
Iris Platform,attio.com,iris keyword/path,crm stok,33,170,2.68,https://attio.com/,0.00,0.00,0.00
Iris Platform,attio.com,iris keyword/path,best open source crm,34,170,5.96,https://attio.com/,0.00,0.00,0.61
Iris Platform,attio.com,iris keyword/path,best crm applications,34,170,14.78,https://attio.com/,0.00,0.00,0.53
Iris Platform,attio.com,iris keyword/path,crm / erp,50,170,21.18,https://attio.com/,0.00,0.00,0.40
Iris Platform,attio.com,iris keyword/path,what are crm tools used for,52,170,3.13,https://attio.com/,0.00,0.00,0.39
Iris Platform,attio.com,iris keyword/path,crm for saas,54,170,12.38,https://attio.com/,0.00,0.00,0.53
Iris Platform,attio.com,iris keyword/path,basic crm system free,59,170,18.26,https://attio.com/,0.00,0.00,0.78
Iris Platform,attio.com,iris keyword/path,what are crm tools used for,60,170,3.13,https://attio.com/,0.00,0.00,0.39
dotfun Growth Services,npgroup.net,growth keyword,nj wordpress web design,61,170,0.00,https://www.npgroup.net/new-jersey-digital-agency/,0.00,0.00,0.33
Iris Platform,attio.com,iris keyword/path,crm marketing tool,64,170,19.68,https://attio.com/,0.00,0.00,0.26
Iris Platform,attio.com,iris keyword/path,crm marketing tool,67,170,19.68,https://attio.com/,0.00,0.00,0.26
Iris Platform,attio.com,iris keyword/path,clarify crm system,72,170,13.20,https://attio.com/,0.00,0.00,0.62
Iris Platform,attio.com,iris keyword/path,what does crm manager do,72,170,0.00,https://attio.com/,0.00,0.00,0.01
Iris Platform,attio.com,iris keyword/path,attio company information,79,170,0.00,https://attio.com/platform/productivity,0.00,0.00,0.00
Iris Platform,attio.com,iris keyword/path,attio company information,83,170,0.00,https://attio.com/platform/data,0.00,0.00,0.00
dotfun Growth Services,npgroup.net,growth keyword,nj wordpress web design,85,170,0.00,https://www.npgroup.net/new-jersey-digital-agency/,0.00,0.00,0.33
Iris Platform,attio.com,iris keyword/path,crm inventory management software,89,170,27.55,https://attio.com/,0.00,0.00,0.31
Iris Platform,attio.com,iris keyword/path,attio company information,98,170,0.00,https://attio.com/platform/ai,0.00,0.00,0.00
Iris Platform,myaifrontdesk.com,iris keyword/path,front desk ai,1,140,10.95,https://www.myaifrontdesk.com/,0.01,0.93,0.64
Iris Platform,attio.com,iris keyword/path,segment crm,2,140,12.10,https://attio.com/apps/segment,0.12,0.31,0.45
Iris Platform,attio.com,iris keyword/path,ai sales crm,3,140,29.58,https://attio.com/,0.06,0.38,0.43
Iris Platform,attio.com,iris keyword/path,advertising crm,5,140,12.89,https://attio.com/,0.02,0.07,0.28
Iris Platform,attio.com,iris keyword/path,web based crm tools,7,140,0.00,https://attio.com/,0.00,0.00,0.04
Iris Platform,attio.com,iris keyword/path,company crm system,8,140,28.75,https://attio.com/,0.00,0.00,0.57
Iris Platform,attio.com,iris keyword/path,vc crm,20,140,27.52,https://attio.com/,0.00,0.00,0.25
Iris Platform,attio.com,iris keyword/path,crm for b2c,21,140,17.24,https://attio.com/,0.00,0.00,0.34
Iris Platform,attio.com,iris keyword/path,crm group,21,140,2.07,https://attio.com/,0.00,0.00,0.03
Iris Platform,attio.com,iris keyword/path,build your own crm system,23,140,15.81,https://attio.com/,0.00,0.00,0.70
Iris Platform,attio.com,iris keyword/path,m&a crm,24,140,36.86,https://attio.com/,0.00,0.00,0.15
dotfun Growth Services,npgroup.net,growth keyword,nj small business web design company,25,140,0.00,https://www.npgroup.net/new-jersey-digital-agency/,0.00,0.00,0.04
Iris Platform,attio.com,iris keyword/path,crm meanign,28,140,5.92,https://attio.com/,0.00,0.00,0.11
Iris Platform,attio.com,iris keyword/path,single source real estate,41,140,2.18,https://attio.com/,0.00,0.00,0.03
Iris Platform,attio.com,iris keyword/path,crm stock.,41,140,2.68,https://attio.com/,0.00,0.00,0.00
