wing,source_domain,Keyword,Position,Search Volume,CPC,Url,Traffic (%),Traffic Cost (%),Competition
Iris Platform,myaifrontdesk.com,786 area code,17,201000,1.32,https://www.myaifrontdesk.com/area-code/imported-item-298,0.12,0.99,0.33
Iris Platform,myaifrontdesk.com,347 area code,24,201000,0.00,https://app.myaifrontdesk.com/blog/area-code-347,0.12,0.00,0.33
Iris Platform,myaifrontdesk.com,929 area code,26,201000,0.00,https://app.myaifrontdesk.com/blog/area-code-929,0.12,0.00,0.33
Iris Platform,myaifrontdesk.com,404 area code,14,165000,0.00,https://www.myaifrontdesk.com/area-code/imported-item-109,0.21,0.00,0.33
Iris Platform,myaifrontdesk.com,951 area code,10,135000,0.27,https://app.myaifrontdesk.com/blog/area-code-951,0.40,0.63,0.33
Iris Platform,myaifrontdesk.com,407 area code,13,135000,0.00,https://www.myaifrontdesk.com/area-code/imported-item-112,0.08,0.00,0.33
Iris Platform,myaifrontdesk.com,214 area code,17,135000,0.00,https://app.myaifrontdesk.com/blog/area-code-214,0.08,0.00,0.33
Iris Platform,myaifrontdesk.com,346 area code,22,135000,0.72,https://app.myaifrontdesk.com/blog/area-code-346,0.08,0.36,0.33
Iris Platform,myaifrontdesk.com,469 area code,26,135000,1.23,https://app.myaifrontdesk.com/blog/area-code-469,0.08,0.62,0.33
Iris Platform,myaifrontdesk.com,904 area code,28,135000,0.00,https://www.myaifrontdesk.com/area-code/imported-item-353,0.04,0.00,0.33
Iris Platform,myaifrontdesk.com,602 area code,15,110000,0.00,https://app.myaifrontdesk.com/blog/area-code-602,0.14,0.00,0.33
Iris Platform,myaifrontdesk.com,813 area code,16,110000,0.00,https://app.myaifrontdesk.com/blog/area-code-813,0.07,0.00,0.33
Iris Platform,myaifrontdesk.com,516 area code,16,110000,1.01,https://www.myaifrontdesk.com/area-code/imported-item-166,0.07,0.41,0.33
Iris Platform,myaifrontdesk.com,mas,16,110000,5.43,https://www.myaifrontdesk.com/blogs/how-mas-answering-service-is-revolutionizing-medicaid-transportation-solutions-in-2025,0.02,0.89,0.01
Iris Platform,myaifrontdesk.com,615 area code,18,110000,0.00,https://app.myaifrontdesk.com/blog/area-code-615,0.07,0.00,0.33
Iris Platform,myaifrontdesk.com,201 area code,19,110000,0.00,https://app.myaifrontdesk.com/blog/area-code-201,0.07,0.00,0.33
Iris Platform,myaifrontdesk.com,909 area code,19,110000,0.00,https://www.myaifrontdesk.com/area-code/imported-item-358,0.07,0.00,0.33
Iris Platform,myaifrontdesk.com,510 area code,33,110000,0.00,https://app.myaifrontdesk.com/blog/area-code-510,0.01,0.00,0.33
Iris Platform,myaifrontdesk.com,239 area code,7,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-239,0.85,0.00,0.33
Iris Platform,myaifrontdesk.com,562 area code,7,90500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-183,0.74,0.00,0.33
Iris Platform,myaifrontdesk.com,571 area code,9,90500,2.18,https://app.myaifrontdesk.com/blog/area-code-571,0.35,4.44,0.33
Iris Platform,myaifrontdesk.com,901 area code,10,90500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-350,0.50,0.00,0.33
Iris Platform,myaifrontdesk.com,714 area code,10,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-714,0.11,0.00,0.33
Iris Platform,myaifrontdesk.com,901 area code,11,90500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-350,0.27,0.00,0.33
Iris Platform,myaifrontdesk.com,315 area code,11,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-315,0.19,0.00,0.33
Iris Platform,myaifrontdesk.com,352 area code,11,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-352,0.19,0.00,0.33
Iris Platform,myaifrontdesk.com,405 area code,11,90500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-110,0.19,0.00,0.33
Iris Platform,myaifrontdesk.com,334 area code,12,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-334,0.19,0.00,0.33
Iris Platform,myaifrontdesk.com,647 area code,12,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-647,0.19,0.00,0.33
Iris Platform,myaifrontdesk.com,650 area code,12,90500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-230,0.19,0.00,0.33
Iris Platform,myaifrontdesk.com,205 area code,12,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-205,0.15,0.00,0.33
Iris Platform,myaifrontdesk.com,203 area code,13,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-203,0.19,0.00,0.33
Iris Platform,myaifrontdesk.com,703 area code,13,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-703,0.19,0.00,0.33
Iris Platform,myaifrontdesk.com,281 area code,13,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-281,0.15,0.00,0.33
Iris Platform,myaifrontdesk.com,808 area code,13,90500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-307,0.15,0.00,0.33
Iris Platform,myaifrontdesk.com,614 area code,14,90500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-210,0.11,0.00,0.33
Iris Platform,myaifrontdesk.com,803 area code,14,90500,0.56,https://app.myaifrontdesk.com/blog/area-code-803,0.05,0.18,0.33
Iris Platform,myaifrontdesk.com,706 area code,15,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-706,0.11,0.00,0.33
Iris Platform,myaifrontdesk.com,571 area code,18,90500,2.18,https://www.myaifrontdesk.com/area-code/imported-item-188,0.05,0.73,0.33
Iris Platform,myaifrontdesk.com,804 area code,18,90500,1.16,https://app.myaifrontdesk.com/blog/area-code-804,0.05,0.39,0.33
Iris Platform,myaifrontdesk.com,732 area code,20,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-732,0.05,0.00,0.33
Iris Platform,myaifrontdesk.com,704 area code,21,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-704,0.05,0.00,0.33
Iris Platform,myaifrontdesk.com,502 area code,23,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-502,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,210 area code,24,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-210,0.05,0.00,0.33
Iris Platform,myaifrontdesk.com,614 area code,32,90500,0.00,https://app.myaifrontdesk.com/blog/area-code-614,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,301 area code,5,74000,0.00,https://www.myaifrontdesk.com/area-code/imported-item-59,0.95,0.00,0.33
Iris Platform,myaifrontdesk.com,248 area code,8,74000,0.00,https://app.myaifrontdesk.com/blog/area-code-248,0.41,0.00,0.33
Iris Platform,myaifrontdesk.com,903 area code,8,74000,0.00,https://www.myaifrontdesk.com/area-code/imported-item-352,0.41,0.00,0.33
Iris Platform,myaifrontdesk.com,972 area code,9,74000,0.00,https://www.myaifrontdesk.com/area-code/imported-item-390,0.41,0.00,0.33
Iris Platform,myaifrontdesk.com,708 area code,9,74000,0.00,https://www.myaifrontdesk.com/area-code/imported-item-254,0.28,0.00,0.33
Iris Platform,myaifrontdesk.com,972 area code,10,74000,0.00,https://www.myaifrontdesk.com/area-code/imported-item-390,0.22,0.00,0.33
Iris Platform,myaifrontdesk.com,304 area code,12,74000,0.00,https://app.myaifrontdesk.com/blog/area-code-304,0.15,0.00,0.33
Iris Platform,myaifrontdesk.com,910 area code,12,74000,0.00,https://www.myaifrontdesk.com/area-code/imported-item-359,0.15,0.00,0.33
Iris Platform,myaifrontdesk.com,360 area code,13,74000,0.00,https://app.myaifrontdesk.com/blog/area-code-360,0.15,0.00,0.33
Iris Platform,myaifrontdesk.com,330 area code,13,74000,0.00,https://www.myaifrontdesk.com/area-code/imported-item-82,0.12,0.00,0.33
Iris Platform,myaifrontdesk.com,559 area code,13,74000,0.82,https://app.myaifrontdesk.com/blog/area-code-559,0.04,0.22,0.33
Iris Platform,myaifrontdesk.com,860 area code,14,74000,0.00,https://app.myaifrontdesk.com/blog/area-code-860,0.09,0.00,0.33
Iris Platform,myaifrontdesk.com,505 area code,17,74000,0.00,https://app.myaifrontdesk.com/blog/area-code-505,0.09,0.00,0.33
Iris Platform,myaifrontdesk.com,657 area code,17,74000,0.00,https://www.myaifrontdesk.com/area-code/imported-item-232,0.04,0.00,0.33
Iris Platform,myaifrontdesk.com,682 area code,20,74000,0.00,https://app.myaifrontdesk.com/blog/area-code-682,0.04,0.00,0.33
Iris Platform,myaifrontdesk.com,412 area code,21,74000,0.00,https://app.myaifrontdesk.com/blog/area-code-412,0.04,0.00,0.33
Iris Platform,myaifrontdesk.com,559 area code,22,74000,0.82,https://app.myaifrontdesk.com/blog/area-code-559,0.04,0.22,0.33
Iris Platform,myaifrontdesk.com,216 area code,24,74000,0.00,https://app.myaifrontdesk.com/blog/area-code-216,0.04,0.00,0.33
Iris Platform,myaifrontdesk.com,708 area code,26,74000,0.00,https://www.myaifrontdesk.com/area-code/imported-item-254,0.04,0.00,0.33
Iris Platform,myaifrontdesk.com,360 area code,27,74000,0.00,https://www.myaifrontdesk.com/area-code/imported-item-98,0.04,0.00,0.33
Iris Platform,myaifrontdesk.com,609 area code,30,74000,0.00,https://app.myaifrontdesk.com/blog/area-code-609,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,860 area code,30,74000,0.00,https://www.myaifrontdesk.com/area-code/imported-item-337,0.02,0.00,0.33
Iris Platform,myaifrontdesk.com,787 area code,4,60500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-299,0.62,0.00,0.33
Iris Platform,myaifrontdesk.com,941 area code,7,60500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-380,0.57,0.00,0.33
Iris Platform,myaifrontdesk.com,601 area code,8,60500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-198,0.49,0.00,0.33
Iris Platform,myaifrontdesk.com,718 area code,8,60500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-262,0.49,0.00,0.33
Iris Platform,myaifrontdesk.com,740 area code,8,60500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-274,0.23,0.00,0.33
Iris Platform,myaifrontdesk.com,410 area code,9,60500,0.00,https://app.myaifrontdesk.com/blog/area-code-410,0.33,0.00,0.33
Iris Platform,myaifrontdesk.com,509 area code,9,60500,0.00,https://app.myaifrontdesk.com/blog/area-code-509,0.18,0.00,0.33
Iris Platform,myaifrontdesk.com,262 area code,10,60500,0.00,https://app.myaifrontdesk.com/blog/area-code-262,0.18,0.00,0.33
Iris Platform,myaifrontdesk.com,402 area code,10,60500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-107,0.18,0.00,0.33
Iris Platform,myaifrontdesk.com,410 area code,10,60500,0.00,https://app.myaifrontdesk.com/blog/area-code-410,0.18,0.00,0.33
Iris Platform,myaifrontdesk.com,416 area code,10,60500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-120,0.13,0.00,0.33
Iris Platform,myaifrontdesk.com,608 area code,11,60500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-205,0.13,0.00,0.33
Iris Platform,myaifrontdesk.com,864 area code,11,60500,0.00,https://www.myaifrontdesk.com/area-code/imported-item-340,0.13,0.00,0.33
Iris Platform,myaifrontdesk.com,253 area code,12,60500,0.00,https://app.myaifrontdesk.com/blog/area-code-253,0.13,0.00,0.33
