Keyword;Search Volume;CPC;Competition
virtual receptionist;6600;36.94;0.24
ai receptionist;3600;12.38;0.77
phone answering service;3600;52.08;0.21
smith ai;3600;8.92;0.72
frontdesk;2900;2.34;0.59
smith.ai careers;2900;1.23;0.06
call answering service;2400;52.08;0.21
phone call answering service;2400;52.08;0.21
ai call;1900;4.61;0.71
smith.ai;1900;8.92;0.72
smithai;1900;8.92;0.72
ai answering service;1600;17.51;0.7
ai caller;1600;4.61;0.71
smith agents;1600;0;0.01
virtual answering service;1600;45.66;0.21
