Keyword;Search Volume;CPC;Competition
brand identity;1500000;3;0.1
pentagram;74000;2.06;0.02
branding;33100;1.59;0.08
branding agency;14800;6.65;0.2
brand identity brand;12100;3;0.1
branding services;6600;5.46;0.08
design agency;5400;3.52;0.16
brand design;4400;2.86;0.39
pentagram design;3600;4.38;0.04
branding design;2900;2.86;0.39
brand design agency;2400;6.12;0.29
world of branding;2400;4.3;0
brand identity agency;1900;10.81;0.14
brand image;1900;2.63;0.04
branding and identity;1900;3;0.1
