Keyword;Search Volume;CPC;Competition
paid media;3600;12.95;0.1
paid advertising;2900;18.62;0.39
paid media agency;2900;36.16;0.11
paid search agency;2900;36.93;0.19
paid ads;1900;18.62;0.39
paid social;1900;10.44;0.2
paid social media advertising;1900;17.93;0.26
paid social media;1300;8.68;0.35
top 10 media agencies;1300;0;0
paid social advertising;1000;18.39;0.19
what is paid media;1000;0.8;0.08
paid media strategy;880;10.99;0.28
advertising media;720;8.42;0.03
paid ads agency;720;25.52;0.07
paid advertising agency;720;25.52;0.07
